Name,Emoji,Code,Description
access,"♿",":wheelchair:","Improvement for accessibility"
asset,"📸",":camera_flash:","Add or update assets"
ci,"👷",":construction_worker:","CI config files and scripts"
clean,"🗑️",":wastebasket:","Delete, deprecate, prune, or otherwise remove files"
config,"🔧",":wrench:","Change to build configs, scripts, or external dependencies"
doc,"📝",":memo:","Documentation changes including source comments"
extern,"👽️",":alien:","Update due to external API or other changes"
feat,"✨",":sparkles:","A new feature"
fix,"🐛",":bug:","A bug fix"
gitignore,"🙈",":see_no_evil:","Change to .gitignore file"
hotfix,"🚨",":rotating_light:","Critical hotfix"
i18n,"🌐",":globe_with_meridians:","Internationalization and localization"
init,"🎉",":tada:","Begin a project"
lint,"👕",":shirt:","Lint or other warning clean up"
log,"📋",":clipboard:","Changes that effect logs"
metric,"📡",":satellite:","Instrumentation or metrics"
perf,"🏃",":running:","Improve performance"
refactor,"♻️",":recycle:","Improve structure or format of code"
revert,"⏪",":rewind:","Reverts a previous commit"
seo,"🎌",":crossed_flags:","SEO improvements, A/B tests, or other changes"
test,"✅",":white_check_mark:","Add or fix  tests"
typo,"💄",":lipstick:","Fix typos, whitespace, or cosmetic change"
ui,"🎨",":art:","Improve user experience, usability, responsiveness"
version,"🔖",":bookmark:","Simple marker to tag a version bump"
wip,"⚗️",":alembic:","Mark the beginning of a major change to code"
